#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","8A34CD3D9DA3999FEA783354372D44BE4FE1E80D1570DECC0853907CD38ED435","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\P6\P6.pimx"
"SHA256","E8B5436E65084241688ABABF5688346CFC3AC2C1A4D6D69E25AE86238C88D1F2","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\P6\P6.sig"
"SHA256","E2C88637B2F05B37DA53761ADD79D59F21456D567DC0C44BF684784B9D25933E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\UWA\UWA.pima"
"SHA256","2792FFBB2711567EEFB839F60BF055EB463AA606A9F1F0571364742E53CACB31","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\UWA\UWA.pimx"
"SHA256","2F3B8B85FDB0CFE475BB7A711E571F31D04BB285D30BA09208F491F2440CB251","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\UWA\UWA.sig"
"SHA256","AC34D44BA0685D2DE074E368AFADC8A06236C6BA752430CAE60C536ADCF319DD","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\Media_db.db"
"SHA256","C21E3602F0BCCF0635602935A005672D6F05EC63DEE574DFDB90F12EF4D2C069","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\Media_db.sig"
"SHA256","E01BBC69BF8F6266B441AC21ED97D337DCB75535E0D827494B48F08E30E77007","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\Setup.xml"
"SHA256","C2D637C9B051EB2B121103776D0822B085EF3E8EFA5948C26AD2854F6917E6DA","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\AcrobatProfessional10.0-EFG.proxy.xml"
"SHA256","2846C1E22CAC01968149A9FEBE029918A5EF980D937CE931FDED28620B228CB8","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\AcrobatUpd1011.msp"
"SHA256","8F3B1618D1358F93CD7E96DB67E1F4563405780D41A98D7E30E9E45D437AE41E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\AcroPro.msi"
"SHA256","1330E447C63A910D91ED94EFAAD78EA50F09FE5038D5AB7D95CB0881BF08264D","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\customaction.data"
"SHA256","A177085C5CDB5FE7C99FD2330B075D1126D439065A7E11A2A52EEFE63E8CCB73","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\Data1.cab"
"SHA256","7BB1F62FE7CEB59006391E21AE5596D52ADD37AA2F60EBA0EABF529717C85784","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\de_DE.mst"
"SHA256","057E08C0C71E332551F79485221FD736162C945F69419E4B31CDCA5A6449CEB1","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\en_GB.mst"
"SHA256","057E08C0C71E332551F79485221FD736162C945F69419E4B31CDCA5A6449CEB1","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\en_US.mst"
"SHA256","B3765AA575F0FA2B2D3E9730D7E511E21B475935361E7F7A31C7BDC81AAED663","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\fr_CA.mst"
"SHA256","B3765AA575F0FA2B2D3E9730D7E511E21B475935361E7F7A31C7BDC81AAED663","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\fr_FR.mst"
"SHA256","D1B3FF37F9968F35276185B4C8A8ED986BEAA0887E5FCE2B1E3623B2CCF9C0C9","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\media.sql"
"SHA256","31869AE727FB59EA053A7B38323731234988B204F4AFB93C8E52F9B35D5EDC57","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\Media_db.db"
"SHA256","6F7959C5BA625DB440081F2699989991B0B5F489B1BDEFE6D74183DC361FD81C","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-EFG\ProductIcon.png"
"SHA256","3D2BDEBC8361B4482AEC0E21A9A3E002AE4061BAB06991EEAA2101A72C5BE552","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\AcrobatProfessional10.0-ja_JP.proxy.xml"
"SHA256","2846C1E22CAC01968149A9FEBE029918A5EF980D937CE931FDED28620B228CB8","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\AcrobatUpd1011.msp"
"SHA256","2E9D31A93A7E3176E332A4514A76CACBE3547F57E8423331E39C38109FA46499","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\AcroPro.msi"
"SHA256","1330E447C63A910D91ED94EFAAD78EA50F09FE5038D5AB7D95CB0881BF08264D","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\customaction.data"
"SHA256","6D72DD8420070F104E07E5B76FA0C0EDA43B0F4FF36E04B2E1F40C9A382D7DC6","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\Data1.cab"
"SHA256","BA9976873F0853A74DD6F62E054353E4768E4C68D35635E4343A765AEDC0C1CC","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\media.sql"
"SHA256","9F5D8C14D154D917CA1B321CBB4D68D245EFEA486E8359900E4BFD7E60674A58","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\Media_db.db"
"SHA256","6F7959C5BA625DB440081F2699989991B0B5F489B1BDEFE6D74183DC361FD81C","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AcrobatProfessional10.0-ja_JP\ProductIcon.png"
"SHA256","13B89D43EBBA239ED4C92B3DC549027040F7F21025982FDA7763A027611616BF","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\AdobeAPE3.3-mul.boot.xml"
"SHA256","6CB19ED5AE4B740F9F0C0BC06044289642D1EB58E6BC699946D1E8791A8FECDF","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\AdobeAPE3.3-mul.proxy.xml"
"SHA256","035106E88EFBEFE6B7EB08A7C1DAECA866400E167AF2A74CA5DFABF49B3114C3","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\Assets1_1.sig"
"SHA256","47E44D4F3D6CC50B65778DFAE6CB7880A168FBC4DD1278831C78D186FEBCAB52","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\Assets1_1.zip"
"SHA256","08021BF832233836FAA274A94B5F7AFCB15B7AD5BF03AB659A93CCB814104992","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\Install.db"
"SHA256","8ED5D2995E642CF637805872FF22BB835ACCFC28BB08B01CB31ABE9653D77E69","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\Install.sig"
"SHA256","E762A3D6978F7D43073B5CCBFA192E9B34C87C4BFAB2A3BC147DF7E35EE4076F","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\media.sql"
"SHA256","138E263858B4305FC922186E54518CE85D02066555F54A0C90B660C0D5B9FF28","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3-mul\Media_db.db"
"SHA256","6A5997A8031102695CEAE8E96FB98C073C4E5ABD1B788AD3C4BB3146A8F836D5","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\AdobeAPE3.3_x64-mul.boot.xml"
"SHA256","0025AD84DB02CA6DF163DA44361D2BC9442179EF035502E1E834835DFD0FCD6D","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\AdobeAPE3.3_x64-mul.proxy.xml"
"SHA256","6C4E3936783476CD4E70D7FD371E837CFBF157C8E3569119785DE28D22528FF0","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\Assets1_1.sig"
